Thread 24: Line 6977: Judges 16:24	Then, too, the people, seeing this, praised their god, and they said the same, “Our god has delivered our adversary into our hands: the one who destroyed our land and who killed very many.”
Thread 24: Line 6989: Judges 17:5	And he also separated in it a little shrine for the god. And he made an ephod and theraphim, that is, a priestly garment and idols. And he filled the hand of one of his sons, and he became his priest.
Thread 24: Line 7021: Judges 18:24	And he responded: “You have taken away my gods, which I made for myself, and the priest, and all that I have. And do you say, ‘What is it that you want?’ ”
Thread 65: Line 18980: Jeremiah 2:11	See if a nation has ever changed their gods, though certainly those are not gods. Yet truly, my people have exchanged their glory for an idol.
Thread 76: Line 22289: Hosea 14:3	Assur will not save us; we will not ride on horses. Neither will we say any more, ‘The works of our hands are our gods,’ for those that are in you will have mercy on the orphan.”
Thread 76: Line 22453: Amos 5:26	And you carried a tabernacle for your Moloch and the image of your idols: the star of your god, which you made for yourselves.
Thread 75: Line 22048: Daniel 11:8	And, in addition, he will carry away captive into Egypt their gods, and their graven images, and likewise their precious vessels of gold and silver. He will prevail against the king of the North.
Thread 75: Line 22076: Daniel 11:36	And the king will act according to his will, and he will be lifted up and will be extolled against every god. And he will speak great things against the God of gods, and he will control, until the passion is completed. Once accomplished, the limit is reached with certainty.
Thread 75: Line 22077: Daniel 11:37	And he will give no thought to the God of his fathers, and he will be in the desire of women, and he will not attend to any gods, because he will rise up against all things.
Thread 75: Line 22078: Daniel 11:38	But he will do homage to the god Maozim in his place, and, a god whom his fathers did not know, he will worship with gold, and silver, and precious stones, and costly things.
Thread 75: Line 22079: Daniel 11:39	And he will act to reinforce Maozim with an alien god, of whom he has become aware, and he will increase their glory, and will give them power over many, and he will distribute land for free.
Thread 75: Line 22133: Hosea 3:1	And the Lord said to me: “Go yet again, and love a woman, beloved by a friend, yet an adulteress, for so does the Lord love the sons of Israel, yet they look to strange gods, and love the seeds of grapes.”
Thread 20: Line 5651: Deuteronomy 28:36	May the Lord lead you and your king, whom you will have appointed over yourself, into a nation which you and your fathers have not known. And there you will serve foreign gods, of wood and of stone.
Thread 20: Line 5679: Deuteronomy 28:64	The Lord will disperse you among all the peoples, from the heights of the earth to its furthest limits. And there you will serve foreign gods of wood and of stone, which you and your fathers did not know.
Thread 20: Line 5701: Deuteronomy 29:18	so that there would not be among you man or woman, family or tribe, whose heart has been turned away this day from the Lord our God, so as to go and serve the gods of those nations. For then there would be among you a root springing forth gall and bitterness.
Thread 20: Line 5709: Deuteronomy 29:26	And they have served foreign gods, and adored them, though they did not know them, and though they had not been allotted to them.
Thread 20: Line 5729: Deuteronomy 30:17	But if your heart will have been turned aside, so that you are not willing to listen, and, having been deceived by error, you adore strange gods and serve them,
Thread 20: Line 5748: Deuteronomy 31:16	And the Lord said to Moses: “Behold, you shall sleep with your fathers, and this people will rise up and will fornicate after foreign gods, in the land which they will enter so that they may live in it. In that place, they will forsake me, and they will make void the covenant that I have formed with them.
Thread 20: Line 5750: Deuteronomy 31:18	But I will hide myself, and I will conceal my face in that day, because of all the evils that they have done, because they have followed strange gods.
Thread 20: Line 5752: Deuteronomy 31:20	For I will lead them into the land, about which I swore to their fathers, a land flowing with milk and honey. And when they have eaten, and have been satiated and fattened, they will turn aside to foreign gods, and they will serve them. And they will disparage me, and they will nullify my covenant.
Thread 20: Line 5774: Deuteronomy 32:12	The Lord alone was his leader, and there was no strange god with him.
Thread 20: Line 5778: Deuteronomy 32:16	They provoked him with strange gods, and they stirred him to anger by their abominations.
Thread 20: Line 5779: Deuteronomy 32:17	They immolated to demons and not to God, to gods whom they did not know, who were new and recent arrivals, whom their fathers did not worship.
Thread 20: Line 5793: Deuteronomy 32:31	For our God is not like their gods. And our enemies are judges.
Thread 20: Line 5799: Deuteronomy 32:37	And he shall say: ‘Where are their gods, in whom they had confidence?
Thread 20: Line 5801: Deuteronomy 32:39	See that I am alone, and there is no other god beside me. I will kill, and I will cause to live. I will strike, and I will heal. And there is no one who is able to rescue from my hand.
Thread 20: Line 5840: Deuteronomy 33:26	There is no other god like the God of the most righteous one. He who rides upon the heavens is your helper. His magnificence scatters the clouds.
Thread 64: Line 18966: Jeremiah 1:16	And I will speak my judgments with them, concerning all the wickedness of those who have forsaken me, and who have offered libations to strange gods, and who have adored the work of their own hands.
Thread 61: Line 18048: Isaiah 21:9	Behold, a certain man approaches, a man riding on a two-horse chariot.” And he responded, and he said: “Fallen, fallen is Babylon! And all its graven gods have been crushed into the earth!
Thread 32: Line 9231: 1 Kings 14:9	Instead, you have worked evil beyond all those who were before you. And you have made for yourself strange gods and molten images, so that you provoke me to anger. And you have cast me behind your back.
